competition,season_year,season,date,playerA,playerB,legsA,legsB
PL,2017/18,1,19/02/18,Mosco,Edo,3,0
PL,2017/18,1,19/02/18,Totò,Federico,3,0
PL,2017/18,1,19/02/18,Edo,Mamo,2,2
PL,2017/18,1,19/02/18,Trudo,Totò,3,1
PL,2017/18,1,19/02/18,Travis,Fabio,2,2
PL,2017/18,1,19/02/18,Totò,Mamo,3,0
PL,2017/18,1,26/02/18,Totò,Mosco,3,0
PL,2017/18,1,26/02/18,Federico,Stefano,2,2
PL,2017/18,1,26/02/18,Mosco,Antonio,3,1
PL,2017/18,1,26/02/18,Totò,Teo,3,0
PL,2017/18,1,26/02/18,Edo,Federico,2,2
PL,2017/18,1,26/02/18,Mosco,Teo,3,0
PL,2017/18,1,26/02/18,Totò,Fabio,2,2
PL,2017/18,1,26/02/18,Trudo,Teo,2,2
PL,2017/18,1,26/02/18,Fabio,Gianluca,3,0
PL,2017/18,1,26/02/18,Trudo,Oscar,3,0
PL,2017/18,1,26/02/18,Totò,Edo,3,0
PL,2017/18,1,02/03/18,Nic,Teo,3,0
PL,2017/18,1,02/03/18,Nic,Trudo,3,1
PL,2017/18,1,02/03/18,Vasile,Stefano,3,0
PL,2017/18,1,02/03/18,Andrea,Federico,3,1
PL,2017/18,1,02/03/18,Federico,Trudo,3,0
PL,2017/18,1,02/03/18,Vasile,Andrea,3,1
PL,2017/18,1,02/03/18,Nic,Ricky,3,1
PL,2017/18,1,02/03/18,Federico,Vasile,2,2
PL,2017/18,1,02/03/18,Ricky ,Oscar,3,1
PL,2017/18,1,05/03/18,Camillo,Federico,3,1
PL,2017/18,1,05/03/18,Benjo,Trudo,3,1
PL,2017/18,1,05/03/18,Stefano,Luca,2,2
PL,2017/18,1,05/03/18,Totò,Benjo,3,1
PL,2017/18,1,05/03/18,Benjo,Alessio,3,0
PL,2017/18,1,05/03/18,Fabio,Luca,3,1
PL,2017/18,1,05/03/18,Nic,Oscar,3,1
PL,2017/18,1,05/03/18,Trudo,Mosco,3,0
PL,2017/18,1,05/03/18,Mosco,Oscar,2,2
PL,2017/18,1,05/03/18,Nic,Federico,3,1
PL,2017/18,1,05/03/18,Luca,Alessio,3,0
PL,2017/18,1,05/03/18,Trudo,Stefano,3,1
PL,2017/18,1,05/03/18,Teo,Federico,3,0
PL,2017/18,1,05/03/18,Alessio,Ricky,3,1
PL,2017/18,1,06/03/18,Teo,Oscar,3,0
PL,2017/18,1,08/03/18,Trudo,Alessio,3,1
PL,2017/18,1,08/03/18,Andrea,Mosco,3,0
PL,2017/18,1,08/03/18,Andrea,Mamo,3,0
PL,2017/18,1,08/03/18,Mosco,Alessio,3,0
PL,2017/18,1,08/03/18,Andrea,Alessio,3,0
PL,2017/18,1,08/03/18,Andrea,Teo,3,0
PL,2017/18,1,08/03/18,Andrea,Trudo,3,0
PL,2017/18,1,08/03/18,Teo,Alessio,3,1
PL,2017/18,1,09/03/18,Camillo,Fabio,3,1
PL,2017/18,1,09/03/18,Travis,Camillo,3,1
PL,2017/18,1,09/03/18,Luke,Camillo,3,1
PL,2017/18,1,09/03/18,Teo,Camillo,3,0
PL,2017/18,1,09/03/18,Lollo,Gianluca,2,2
PL,2017/18,1,09/03/18,Lollo,Fabio,2,2
PL,2017/18,1,09/03/18,Totò,Lollo,3,1
PL,2017/18,1,09/03/18,Totò,Luke,3,0
PL,2017/18,1,09/03/18,Savo,Luke,3,1
PL,2017/18,1,09/03/18,Gianluca,Ricky,2,2
PL,2017/18,1,09/03/18,Savo,Ricky,3,0
PL,2017/18,1,09/03/18,Fabio,Savo,3,0
PL,2017/18,1,09/03/18,Savo,Teo,3,0
PL,2017/18,1,12/03/18,Luca,Antonio,3,0
PL,2017/18,1,12/03/18,Stefano,Mosco,3,1
PL,2017/18,1,12/03/18,Gianluca,Oscar,2,2
PL,2017/18,1,12/03/18,Luca,Federico,3,0
PL,2017/18,1,12/03/18,Savo,Oscar,3,0
PL,2017/18,1,12/03/18,Nicholas,Mosco,3,0
PL,2017/18,1,12/03/18,Savo,Luca,3,0
PL,2017/18,1,12/03/18,Mamo,Federico,2,2
PL,2017/18,1,16/03/18,Trudo,Ricky,2,2
PL,2017/18,1,16/03/18,Alessio,Oscar,3,1
PL,2017/18,1,19/03/18,Edo,Alessio,3,1
PL,2017/18,1,19/03/18,Fabio,Mosco,3,1
PL,2017/18,1,19/03/18,Oscar,Edo,2,2
PL,2017/18,1,19/03/18,Federico,Mosco,3,1
PL,2017/18,1,19/03/18,Gianluca,Edo,3,0
PL,2017/18,1,19/03/18,Teo,Fabio,3,0
PL,2017/18,1,19/03/18,Fabio,Federico,3,1
PL,2017/18,1,23/03/18,Totò,Vasile,3,0
PL,2017/18,1,23/03/18,Vasile,Travis,3,1
PL,2017/18,1,23/03/18,Nic,Alessio,3,0
PL,2017/18,1,23/03/18,Totò,Alessio,3,0
PL,2017/18,1,23/03/18,Gianluca,Alessio,3,0
PL,2017/18,1,26/03/18,Ricky,Edo,3,1
PL,2017/18,1,26/03/18,Teo,Edo,3,1
PL,2017/18,1,26/03/18,Ricky,Mosco,2,2
PL,2017/18,1,26/03/18,JR,Stefano,3,0
PL,2017/18,1,26/03/18,JR,Gianluca,3,0
PL,2017/18,1,26/03/18,Luca,Totò,3,1
PL,2017/18,1,26/03/18,JR,Teo,3,0
PL,2017/18,1,26/03/18,Andrea,Luca,3,0
PL,2017/18,1,26/03/18,JR,Oscar,3,0
PL,2017/18,1,26/03/18,Andrea,Stefano,3,0
PL,2017/18,1,26/03/18,Teo,Stefano,3,0
PL,2017/18,1,26/03/18,Teo,Luca,3,0
PL,2017/18,1,26/03/18,Stefano,Mamo,3,0
PL,2017/18,1,26/03/18,Oscar,Luca,2,2
PL,2017/18,1,26/03/18,Stefano,Oscar,3,1
PL,2017/18,1,30/03/18,Savo,Kalle,3,1
PL,2017/18,1,30/03/18,Fabio,Kalle,3,1
PL,2017/18,1,30/03/18,Camillo,Nicholas,2,2
PL,2017/18,1,30/03/18,Savo,Nicholas,3,1
PL,2017/18,1,30/03/18,Nicholas,Oscar,3,1
PL,2017/18,1,31/03/18,Nic,Mosco,3,0
PL,2017/18,1,04/04/18,Alessio,Luke,2,2
PL,2017/18,1,09/04/18,Kalle,Oscar,3,1
PL,2017/18,1,13/04/18,Savo,Travis,3,0
PL,2017/18,1,13/04/18,Fabio,Alessio,3,0
PL,2017/18,1,13/04/18,Savo,Gianluca,2,2
PL,2017/18,1,13/04/18,Totò,Nicholas,3,1
PL,2017/18,1,13/04/18,Savo,Edo,3,0
PL,2017/18,1,13/04/18,Luke,Nicholas,3,1
PL,2017/18,1,13/04/18,Gianluca,Totò,3,0
PL,2017/18,1,13/04/18,Luke,Edo,3,1
PL,2017/18,1,16/04/18,Kalle,Luke,3,1
PL,2017/18,1,16/04/18,Alex,Federico,2,2
PL,2017/18,1,16/04/18,Alex,Stefano,3,0
PL,2017/18,1,16/04/18,Mattia,Edo,3,0
PL,2017/18,1,16/04/18,Kalle,Alessio,3,1
PL,2017/18,1,16/04/18,Stefano,Nic,2,2
PL,2017/18,1,16/04/18,JR,Federico,3,1
PL,2017/18,1,16/04/18,JR,Nic,3,1
PL,2017/18,1,20/04/18,Kalle,Alessandro,2,2
PL,2017/18,1,20/04/18,Travis,Trudo,3,1
PL,2017/18,1,20/04/18,Vasile,Camillo,3,1
PL,2017/18,1,20/04/18,Mattia,Kalle,3,0
PL,2017/18,1,20/04/18,Fabio,Nic,3,1
PL,2017/18,1,20/04/18,Nic,Kalle,3,1
PL,2017/18,1,20/04/18,Nic,Mattia,2,2
PL,2017/18,1,20/04/18,Alessandro,Fabio,2,2
PL,2017/18,1,23/04/18,Camillo,Alessandro,2,2
PL,2017/18,1,23/04/18,Ciuni,Mosco,3,1
PL,2017/18,1,23/04/18,Alessandro,Alessio,3,1
PL,2017/18,1,23/04/18,Edo,Alessandro,2,2
PL,2017/18,1,23/04/18,Luke,Alex,2,2
PL,2017/18,1,23/04/18,Mattia,Travis,3,0
PL,2017/18,1,23/04/18,Fabio,Stefano,3,0
PL,2017/18,1,23/04/18,Federico,Alessandro,2,2
PL,2017/18,1,23/04/18,Luke,Mamo,3,1
PL,2017/18,1,23/04/18,Luca,Ciuni,2,2
PL,2017/18,1,23/04/18,Fabio,Oscar,3,0
PL,2017/18,1,23/04/18,Alessandro,Stefano,3,1
PL,2017/18,1,23/04/18,Luke,Oscar,2,2
PL,2017/18,1,23/04/18,Savo,Ciuni,3,1
PL,2017/18,1,23/04/18,Luke,Teo,2,2
PL,2017/18,1,23/04/18,Savo,Stefano,3,0
PL,2017/18,1,23/04/18,Luca,Mamo,2,2
PL,2017/18,1,27/04/18,Nino,Kalle,3,1
PL,2017/18,1,27/04/18,Nino,Benjo,3,1
PL,2017/18,1,27/04/18,Trudo,Mamo,3,0
PL,2017/18,1,27/04/18,Oscar,Mamo,3,0
PL,2017/18,1,27/04/18,Oscar,Andrea,3,1
PL,2017/18,1,27/04/18,Andrea,Nic,3,1
PL,2017/18,1,30/04/18,Nino,PJ,3,0
PL,2017/18,1,30/04/18,Kalle,Travis,3,0
PL,2017/18,1,30/04/18,Nino,Alessandro,2,2
PL,2017/18,1,30/04/18,Alessio,Ciuni,3,0
PL,2017/18,1,30/04/18,Alessandro,Ciuni,2,2
PL,2017/18,1,30/04/18,PJ,Fabio,2,2
PL,2017/18,1,30/04/18,Savo,Alessio,3,0
PL,2017/18,1,30/04/18,PJ,Stefano,3,0
PL,2017/18,1,30/04/18,Ciuni,Federico,2,2
PL,2017/18,1,30/04/18,Fabio,Nicholas,3,1
PL,2017/18,1,30/04/18,Camillo,Mosco,3,1
PL,2017/18,1,30/04/18,Vasile,Teo,3,1
PL,2017/18,1,30/04/18,Fabio,Ciuni,3,0
PL,2017/18,1,30/04/18,Mosco,Travis,2,2
PL,2017/18,1,30/04/18,Teo,Alessandro,3,1
PL,2017/18,1,30/04/18,Vasile,Ciuni,3,1
PL,2017/18,1,30/04/18,JR,Alessio,3,0
PL,2017/18,1,30/04/18,Oscar,Ciuni,3,0
PL,2017/18,1,06/05/18,Alex,Alessio,3,0
PL,2017/18,1,06/05/18,Alessandro,Alex,3,0
PL,2017/18,1,06/05/18,JR,Alessandro,3,1
PL,2017/18,1,06/05/18,Totò,JR,3,1
PL,2017/18,1,06/05/18,Vasile,Alessandro,2,2
PL,2017/18,1,07/05/18,Savo,Alessandro,2,2
PL,2017/18,1,07/05/18,Kalle,Mosco,3,1
PL,2017/18,1,07/05/18,Savo,Mosco,3,0
PL,2017/18,1,07/05/18,Totò,Alessandro,2,2
PL,2017/18,1,07/05/18,Mattia,Trudo,3,0
PL,2017/18,1,07/05/18,Alex,Luca,3,1
PL,2017/18,1,14/05/18,Edo,Luca,3,0
PL,2017/18,1,14/05/18,Nicholas,Ciuni,3,1
PL,2017/18,1,14/05/18,Nicholas,Federico,3,0
PL,2017/18,1,14/05/18,Trudo,Ciuni,3,0
PL,2017/18,1,14/05/18,Trudo,Luca,3,0
PL,2017/18,1,14/05/18,Luca,Mosco,2,2
PL,2017/18,1,28/05/18,Totò,Ciuni,3,0
PL,2017/18,1,28/05/18,Fabio,Nino,3,1
PL,2017/18,1,28/05/18,Totò,Nino,2,2
PL,2017/18,1,28/05/18,Totò,Alex,3,1
PL,2017/18,1,28/05/18,Alex,Teo,2,2
PL,2017/18,1,28/05/18,Teo,Mattia,3,1
PL,2017/18,1,28/05/18,Alex,Ciuni,3,0
PL,2017/18,1,28/05/18,Savo,Mattia,3,1
PL,2017/18,1,28/05/18,Alex,Nicholas,2,2
PL,2017/18,1,28/05/18,Teo,Ciuni,3,1
PL,2017/18,1,04/06/18,Alessandro,Trudo,3,1
PL,2017/18,1,04/06/18,Nino,Federico,3,0
PL,2017/18,1,04/06/18,Alessandro,Mosco,3,1
PL,2017/18,1,04/06/18,Gianluca,Nino,2,2
PL,2017/18,1,04/06/18,Edo,Camillo,3,0
PL,2017/18,1,04/06/18,Gianluca,Mosco,3,1
PL,2017/18,1,04/06/18,Fabio,Alex,3,1
PL,2017/18,1,11/06/18,Luca,Nicholas,3,1
PL,2017/18,1,11/06/18,Nic,Edo,3,1
PL,2017/18,1,11/06/18,Mattia,Mosco,3,0
PL,2017/18,1,11/06/18,Mattia,Oscar,3,0
PL,2017/18,1,10/07/18,JR,Nino,3,0
PL,2017/18,1,10/07/18,Nino,Luca,3,0
PL,2017/18,1,10/07/18,Nic,Nino,3,0
PL,2017/18,1,10/07/18,Mattia,Federico,3,0
PL,2017/18,1,10/07/18,Fabio,JR,3,1
PL,2017/18,1,10/07/18,Totò,Nic,3,1
PL,2017/18,1,23/07/18,Federico,Alessio,2,2
PL,2017/18,1,30/07/18,Mattia,Fabio,3,0
PL,2017/18,1,30/07/18,Fabio,Edo,3,0
PL,2017/18,1,30/07/18,Fabio,Trudo,3,0